Experiment: Yurokovisky2013-Exp1
bowl fork door bed 	
bowl fork door bed 	
bowl fork door bed 	
bowl fork door bed 	
cooker refrigerator spoon knife 	
cooker refrigerator spoon knife 	
cooker refrigerator spoon knife 	
cooker refrigerator spoon knife 	
refrigerator desk knife knife 	
refrigerator desk knife knife 	
refrigerator desk knife knife 	
refrigerator desk knife knife 	
fork chair clock knife 	
fork chair clock knife 	
fork chair clock knife 	
fork chair clock knife 	
chair door sofa cup 	
chair door sofa cup 	
chair door sofa cup 	
chair door sofa cup 	
door canister chair bowl 	
door canister chair bowl 	
door canister chair bowl 	
door canister chair bowl 	
sofa refrigerator cup knife 	
sofa refrigerator cup knife 	
sofa refrigerator cup knife 	
sofa refrigerator cup knife 	
door chair computer dresser 	
door chair computer dresser 	
door chair computer dresser 	
door chair computer dresser 	
canister bed sofa dresser 	
canister bed sofa dresser 	
canister bed sofa dresser 	
canister bed sofa dresser 	
bed door cooker cup 	
bed door cooker cup 	
bed door cooker cup 	
bed door cooker cup 	
desk computer telephone spoon 	
desk computer telephone spoon 	
desk computer telephone spoon 	
desk computer telephone spoon 	
refrigerator clock telephone telephone 	
refrigerator clock telephone telephone 	
refrigerator clock telephone telephone 	
refrigerator clock telephone telephone 	
bed bowl desk armoire 	
bed bowl desk armoire 	
bed bowl desk armoire 	
bed bowl desk armoire 	
bowl canister computer spoon 	
bowl canister computer spoon 	
bowl canister computer spoon 	
bowl canister computer spoon 	
canister bowl refrigerator spoon 	
canister bowl refrigerator spoon 	
canister bowl refrigerator spoon 	
canister bowl refrigerator spoon 	
chair canister computer armoire 	
chair canister computer armoire 	
chair canister computer armoire 	
chair canister computer armoire 	
clock cooker armoire dresser 	
clock cooker armoire dresser 	
clock cooker armoire dresser 	
clock cooker armoire dresser 	
clock sofa cup cup 	
clock sofa cup cup 	
clock sofa cup cup 	
clock sofa cup cup 	
cooker desk spoon telephone 	
cooker desk spoon telephone 	
cooker desk spoon telephone 	
cooker desk spoon telephone 	
computer cooker armoire knife 	
computer cooker armoire knife 	
computer cooker armoire knife 	
computer cooker armoire knife 	
fork bed clock armoire 	
fork bed clock armoire 	
fork bed clock armoire 	
fork bed clock armoire 	
fork door refrigerator cup 	
fork door refrigerator cup 	
fork door refrigerator cup 	
fork door refrigerator cup 	
fork bed desk dresser 	
fork bed desk dresser 	
fork bed desk dresser 	
fork bed desk dresser 	
chair bowl desk telephone 	
chair bowl desk telephone 	
chair bowl desk telephone 	
chair bowl desk telephone 	
fork canister cooker telephone 	
fork canister cooker telephone 	
fork canister cooker telephone 	
fork canister cooker telephone 	
computer sofa dresser spoon 	
computer sofa dresser spoon 	
computer sofa dresser spoon 	
computer sofa dresser spoon 	
sofa clock dresser armoire 	
sofa clock dresser armoire 	
sofa clock dresser armoire 	
sofa clock dresser armoire 	

bed     -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
3-cooker-1	J-30:	0.99979	0.99963	0.99883	0.99994	0.24462	0.24622	0.80425
2-chair   	J-30:	0.99976	0.99960	0.99926	0.99990	0.23809	0.41675	0.76897
2-desk-2  	J-30:	0.99973	0.99949	0.99926	0.99988	0.23809	0.41675	0.76897
2-bed     	J-30:	0.99968	0.99889	0.99926	0.99991	0.23809	0.41675	0.76897


chair   -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
2-cooker-2	J-34:	0.99943	0.99974	0.99738	0.99986	0.23809	0.41675	0.76897
2-chair   	J-34:	0.99943	0.99960	0.99738	0.99988	0.23809	0.41675	0.76897
2-computer	J-34:	0.99937	0.99913	0.99738	0.99988	0.23809	0.41675	0.76897
2-bowl    	J-34:	0.99927	0.99827	0.99738	0.99989	0.23809	0.41675	0.76897


bowl    -N:	Ctxt	a	v_act	a_act	c_act	v_ds	a_ds	c_ds
3-clock-2 	J-37:	0.99973	0.99976	0.99888	0.99983	0.24462	0.24622	0.80425
2-clock-1 	J-37:	0.99957	0.99964	0.99821	0.99988	0.23809	0.41675	0.76897
2-fork    	J-37:	0.99957	0.99965	0.99821	0.99987	0.23809	0.41675	0.76897
2-bowl    	J-37:	0.99939	0.99827	0.99821	0.99986	0.23809	0.41675	0.76897

